"'QTY/TYPE","'","'GWT+TARE WT (KGS) LIMIT GWT (EACH)","'IMO CLASS/UN NO/LQ/SUB RISK",
"'1 /40' REEFER","'HI-CUBE","'28,000.00 +4,760 29,240","'(NON-HAZARDOUS)",
"'TEMP:-18.00","'/","'PRE-COOL:NO / GEN SET: / VENT SET:0 (CMH)","'",
"'SPECIAL","'HANDLING","':REEFER-MODEL:CARRIER","'",
"'","'","'HEAVY WEIGHT","'",
"'EMPTY PICK","'UP","'AT:CAT LAI TERMINAL","'",
"'TELNO","':8-37422234","'","'",
"'INLAND RETURN","'","'TO:CAT LAI TERMINAL","'",
"'TELNO","':08-7422254","'","'",
,,,

'Confidence Scores % (Table Cell)
"'36.84082031","'36.84082031","'35.00976563","'56.49414063",
"'26.36718750","'26.36718750","'26.36718750","'32.64160156",
"'12.11547852","'9.01489258","'12.50000000","'32.64160156",
"'11.62109375","'8.64868164","'11.99340820","'32.64160156",
"'13.12255859","'9.75952148","'13.53759766","'32.64160156",
"'13.23242188","'9.85107422","'13.65966797","'32.64160156",
"'13.41552734","'9.98535156","'13.84277344","'32.64160156",
"'14.37988281","'10.69335938","'14.83154297","'32.64160156",
"'13.78173828","'10.24780273","'14.22119141","'32.64160156",
